country,population,wheat_flour_price,rice_price,sugar_price,beef_price,tomatoes_price,lentils_price,white_beans_price,potatoes_price,garlic_price,year,hdi,meat_(beef)_price
Lebanon,,1528.7272727272727,,,,,,,,,2017,,
Lebanon,,1487.0341296928327,,,,,,,,,2018,,
Lebanon,,1492.579661016949,,,,,,,,,2019,,
Lebanon,,2285.7122302158273,,,,,,,,,2020,,
Nepal,,54.42424242424242,,,,96.98222222222222,,,,,2019,,
Nepal,,62.98769659863945,,,,87.1220010791367,,,,,2020,,
Nepal,,34.45151515151515,,,,,,,,,2010,,
Nepal,,35.99476923076923,,,,,,,,,2011,,
Nepal,,35.2775,,,,,,,,,2012,,
Nepal,,40.27461538461538,,,,,,,,,2013,,
Nepal,,43.75,,,,,,,,,2014,,
Nepal,,45.081746031746036,,,,,,,,,2015,,
Nepal,,46.40333333333333,,,,,,,,,2016,,
Nepal,,45.17272727272727,,,,,,,,,2017,,
